notification_date,age_group,confirmed_by_pcr,confirmed_cases_count
2020-04-01,AgeGroup_30-34,N/A,16
2020-04-01,AgeGroup_35-39,N/A,9
2020-04-01,AgeGroup_40-44,N/A,6
2020-04-01,AgeGroup_45-49,N/A,5
2020-04-01,AgeGroup_50-54,N/A,9
2020-04-01,AgeGroup_55-59,N/A,8
2020-04-01,AgeGroup_60-64,N/A,13
2020-04-01,AgeGroup_65-69,N/A,2
2020-04-01,AgeGroup_70+,N/A,19
2020-04-02,AgeGroup_0-19,N/A,7
2020-04-02,AgeGroup_20-24,N/A,11
2020-04-02,AgeGroup_25-29,N/A,14
2020-04-02,AgeGroup_30-34,N/A,13
2020-04-02,AgeGroup_35-39,N/A,3
2020-04-02,AgeGroup_40-44,N/A,6
2020-04-02,AgeGroup_45-49,N/A,5
2020-04-02,AgeGroup_50-54,N/A,5
2020-04-02,AgeGroup_55-59,N/A,4
2020-04-02,AgeGroup_60-64,N/A,6
2020-04-02,AgeGroup_65-69,N/A,12
2020-04-02,AgeGroup_70+,N/A,6
2020-04-03,AgeGroup_0-19,N/A,11
2020-04-03,AgeGroup_20-24,N/A,10
2020-04-03,AgeGroup_25-29,N/A,12
2020-04-03,AgeGroup_30-34,N/A,12
2020-04-03,AgeGroup_35-39,N/A,7
2020-04-03,AgeGroup_40-44,N/A,4
2020-04-03,AgeGroup_45-49,N/A,5
2020-04-03,AgeGroup_50-54,N/A,3
2020-04-03,AgeGroup_55-59,N/A,6
2020-04-03,AgeGroup_60-64,N/A,11
2020-04-03,AgeGroup_65-69,N/A,13
2020-04-03,AgeGroup_70+,N/A,12
2020-04-04,AgeGroup_0-19,N/A,1
2020-04-04,AgeGroup_20-24,N/A,4
2020-04-04,AgeGroup_25-29,N/A,5
2020-04-04,AgeGroup_30-34,N/A,10
2020-04-04,AgeGroup_35-39,N/A,11
2020-04-04,AgeGroup_40-44,N/A,5
2020-04-04,AgeGroup_45-49,N/A,7
2020-04-04,AgeGroup_50-54,N/A,8
2020-04-04,AgeGroup_55-59,N/A,6
2020-04-04,AgeGroup_60-64,N/A,4
2020-04-04,AgeGroup_65-69,N/A,2
2020-04-04,AgeGroup_70+,N/A,10
2020-04-05,AgeGroup_0-19,N/A,2
2020-04-05,AgeGroup_20-24,N/A,2
2020-04-05,AgeGroup_25-29,N/A,6
2020-04-05,AgeGroup_30-34,N/A,6
2020-04-05,AgeGroup_35-39,N/A,6
2020-04-05,AgeGroup_40-44,N/A,6
2020-04-05,AgeGroup_45-49,N/A,4
2020-04-05,AgeGroup_50-54,N/A,2
2020-04-05,AgeGroup_55-59,N/A,4
2020-04-05,AgeGroup_60-64,N/A,5
2020-04-05,AgeGroup_65-69,N/A,4
2020-04-05,AgeGroup_70+,N/A,16
2020-04-06,AgeGroup_0-19,N/A,2
2020-04-06,AgeGroup_20-24,N/A,3
2020-04-06,AgeGroup_25-29,N/A,2
